target	tests	mutants	killed	survived	timeout	kill_rate	survivors_by_operator	surviving_logic_mutants	run_log	earlier_rounds
ama_cryptography/hybrid_combiner.py	tests/test_hybrid_combiner.py tests/test_hybrid_combiner_edge_cases.py	64	44	20	0	0.688	binop=3,bool-const=1,boolop=1,compare=1,int-const=8,not-removal=1,return-none=1,str-const=4	L65:8192->8193;L66:256->257;L123:False->True;L158:return False->return None;L232:2->3;L314:136->137;L319:>-><=;L322:-->+;L332:not ->;L333:*->//;L337:-->+;L343:1->2;L382:or->and;L384:0->1;L386:0->1;L450:0->1	docs/audit/logs/phaseD/mutation/hybrid_combiner.tsv	-
tools/check_dudect_class_staging.py	tests/test_dudect_staging_gate.py	95	80	15	0	0.842	binop=1,boolop=1,int-const=6,str-const=7	L286:0->1;L288:1->2;L307:2->3;L312:+->-;L335:0->1;L356:0->1;L371:0->1;L374:and->or	docs/audit/logs/phaseD/mutation/check_dudect_class_staging.tsv	docs/audit/logs/phaseD/mutation/check_dudect_class_staging.round1.tsv;docs/audit/logs/phaseD/mutation/check_dudect_class_staging.round2.tsv
tools/check_error_state_gating.py	tests/test_error_state_gating_tool.py	228	227	1	0	0.996	int-const=1	L670:1->2	docs/audit/logs/phaseR/mutation/check_error_state_gating.tsv	docs/audit/logs/phaseD/mutation/check_error_state_gating.tsv;docs/audit/logs/phaseR/mutation/check_error_state_gating.round1.tsv;docs/audit/logs/phaseR/mutation/check_error_state_gating.round2.tsv
tools/check_keygen_pct.py	tests/test_keygen_pct_gate.py	55	51	4	0	0.927	int-const=2,str-const=2	L100:10->11;L204:0->1	docs/audit/logs/phaseD/mutation/check_keygen_pct.tsv	docs/audit/logs/phaseD/mutation/check_keygen_pct.round1.tsv
tools/check_workflow_commands.py	tests/test_workflow_command_checks.py	473	466	6	1	0.987	int-const=3,loop-jump=1,str-const=2	L515:1->2;L871:continue->break;L1116:1->2;L1126:1->2	docs/audit/logs/phaseR/mutation/check_workflow_commands.tsv	docs/audit/logs/phaseD/mutation/check_workflow_commands.tsv;docs/audit/logs/phaseR/mutation/check_workflow_commands.round1.tsv;docs/audit/logs/phaseR/mutation/check_workflow_commands.round2.tsv;docs/audit/logs/phaseR/mutation/check_workflow_commands.round3.tsv
