test	command	environment	exit	duration_s	errors	definitely_lost	log
test_sha3_x4	/home/user/AMA-Cryptography/build-valgrind/bin/test_sha3_x4		0	2	0	n/a	docs/audit/logs/phaseD/valgrind/test_sha3_x4.log
test_hkdf	/home/user/AMA-Cryptography/build-valgrind/bin/test_hkdf		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_hkdf.log
test_agent_binding	/home/user/AMA-Cryptography/build-valgrind/bin/test_agent_binding		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_agent_binding.log
test_ascon	/home/user/AMA-Cryptography/build-valgrind/bin/test_ascon		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_ascon.log
test_lms	/home/user/AMA-Cryptography/build-valgrind/bin/test_lms		0	22	0	n/a	docs/audit/logs/phaseD/valgrind/test_lms.log
test_ed25519	/home/user/AMA-Cryptography/build-valgrind/bin/test_ed25519		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_ed25519.log
test_ed25519_unaligned_input	/home/user/AMA-Cryptography/build-valgrind/bin/test_ed25519_unaligned_input		0	2	0	n/a	docs/audit/logs/phaseD/valgrind/test_ed25519_unaligned_input.log
test_ed25519_canonical_s	/home/user/AMA-Cryptography/build-valgrind/bin/test_ed25519_canonical_s		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_ed25519_canonical_s.log
test_ed25519_canonical_r	/home/user/AMA-Cryptography/build-valgrind/bin/test_ed25519_canonical_r		0	2	0	n/a	docs/audit/logs/phaseD/valgrind/test_ed25519_canonical_r.log
test_ed25519_scalarmult_contract	/home/user/AMA-Cryptography/build-valgrind/bin/test_ed25519_scalarmult_contract		0	9	0	n/a	docs/audit/logs/phaseD/valgrind/test_ed25519_scalarmult_contract.log
test_x25519	/home/user/AMA-Cryptography/build-valgrind/bin/test_x25519		0	14	0	n/a	docs/audit/logs/phaseD/valgrind/test_x25519.log
test_x25519_path	/home/user/AMA-Cryptography/build-valgrind/bin/test_x25519_path		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_x25519_path.log
test_x25519_field_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_x25519_field_equiv		0	11	0	n/a	docs/audit/logs/phaseD/valgrind/test_x25519_field_equiv.log
test_field_bench	/home/user/AMA-Cryptography/build-valgrind/bin/test_field_bench		0	7	0	n/a	docs/audit/logs/phaseD/valgrind/test_field_bench.log
test_x25519_fe64_mulx_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_x25519_fe64_mulx_equiv		77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_x25519_fe64_mulx_equiv.log
test_x25519_mulx_override	/home/user/AMA-Cryptography/build-valgrind/bin/test_x25519_mulx_override		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_x25519_mulx_override.log
test_chacha20poly1305	/home/user/AMA-Cryptography/build-valgrind/bin/test_chacha20poly1305		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_chacha20poly1305.log
test_argon2id	/home/user/AMA-Cryptography/build-valgrind/bin/test_argon2id		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_argon2id.log
test_secp256k1	/home/user/AMA-Cryptography/build-valgrind/bin/test_secp256k1		0	408	0	n/a	docs/audit/logs/phaseD/valgrind/test_secp256k1.log
test_frost	/home/user/AMA-Cryptography/build-valgrind/bin/test_frost		0	2	0	n/a	docs/audit/logs/phaseD/valgrind/test_frost.log
test_nistp	/home/user/AMA-Cryptography/build-valgrind/bin/test_nistp		0	14	0	n/a	docs/audit/logs/phaseD/valgrind/test_nistp.log
test_aes_bitsliced	/home/user/AMA-Cryptography/build-valgrind/bin/test_aes_bitsliced		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_aes_bitsliced.log
test_kat	/home/user/AMA-Cryptography/build-valgrind/bin/test_kat		0	24	0	n/a	docs/audit/logs/phaseD/valgrind/test_kat.log
test_pq_privkey_check_determinism	/home/user/AMA-Cryptography/build-valgrind/bin/test_pq_privkey_check_determinism		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_pq_privkey_check_determinism.log
test_pq_parser_stack	/home/user/AMA-Cryptography/build-valgrind/bin/test_pq_parser_stack		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_pq_parser_stack.log
test_concurrent_init	/home/user/AMA-Cryptography/build-valgrind/bin/test_concurrent_init		0	6	0	n/a	docs/audit/logs/phaseD/valgrind/test_concurrent_init.log
test_kyber_debug	/home/user/AMA-Cryptography/build-valgrind/bin/test_kyber_debug		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_kyber_debug.log
test_kyber_cpa	/home/user/AMA-Cryptography/build-valgrind/bin/test_kyber_cpa		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_kyber_cpa.log
test_kyber_compress	/home/user/AMA-Cryptography/build-valgrind/bin/test_kyber_compress		0	0	0	n/a	docs/audit/logs/phaseD/valgrind/test_kyber_compress.log
test_kyber_sample_ntt	/home/user/AMA-Cryptography/build-valgrind/bin/test_kyber_sample_ntt		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_kyber_sample_ntt.log
test_kyber_cbd2_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_kyber_cbd2_equiv		77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_kyber_cbd2_equiv.log
test_dilithium_invntt_bound	/home/user/AMA-Cryptography/build-valgrind/bin/test_dilithium_invntt_bound		0	2	0	n/a	docs/audit/logs/phaseD/valgrind/test_dilithium_invntt_bound.log
test_dilithium_ntt_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_dilithium_ntt_equiv		77	0	0	n/a	docs/audit/logs/phaseD/valgrind/test_dilithium_ntt_equiv.log
test_dilithium_rej_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_dilithium_rej_equiv		77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_dilithium_rej_equiv.log
test_dilithium_ntt_bench	/home/user/AMA-Cryptography/build-valgrind/bin/test_dilithium_ntt_bench		0	0	0	n/a	docs/audit/logs/phaseD/valgrind/test_dilithium_ntt_bench.log
