--- AVX/AVX2/AVX-512 (YMM/ZMM)  (-mavx2, -mavx512f -mavx512vl) ---
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_ed25519_sha512: 7 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_frost_aggregate: 28 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_frost_keygen_trusted_dealer: 10 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_frost_round2_sign: 34 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_hkdf: 7 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_hkdf_agent_bound: 16 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_hmac_sha256: 10 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_hmac_sha256_2: 10 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_hmac_sha384: 36 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_hmac_sha512_3.constprop.0: 79 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_nistp_ecdh: 170 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_nistp_keypair: 18 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_nistp_point_decode: 265 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_nistp_pubkey_from_privkey: 264 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_nistp_sig_der_to_raw: 32 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_nistp_sig_raw_to_der: 32 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_pbkdf2_hmac_sha256: 69 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_pbkdf2_hmac_sha512: 98 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_secp256k1_ecdsa_verify_ex: 37 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_secp256k1_point_mul: 20 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_secp256k1_pubkey_decompress: 8 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_secp256k1_pubkey_from_privkey: 18 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha256_init: 2 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha384: 6 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha3_256: 18 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha3_384: 77 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha3_512: 51 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha3_512_final: 8 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha3_512_update: 6 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha3_final: 16 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha3_update: 24 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha512: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha512_ctx_update.constprop.0: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sha512_transform: 70 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_shake128: 204 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_shake128_inc_absorb: 30 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_shake128_inc_finalize: 15 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_shake128_x4_absorb_once: 15 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_shake256: 160 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_shake256_inc_finalize: 16 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_shake256_x4_absorb_once: 16 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_slhdsa_verify: 1 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sphincs_keypair: 10 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_sphincs_verify: 7 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] argon2_G_scalar: 48 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] blake2b_compress: 8 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] blake2b_long_impl: 42 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] chacha20_block: 2 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] chacha20_xor.constprop.0: 54 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] compute_binding_factor: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
