--- AVX/AVX2/AVX-512 (YMM/ZMM)  (-mavx2, -mavx512f -mavx512vl) ---
    dispatch_init_internal                          278  *** NON-KERNEL ***
    ed25519_hash_final                                3  *** NON-KERNEL ***
    ed25519_publickey                                10  *** NON-KERNEL ***
    ed25519_sign                                     28  *** NON-KERNEL ***
    ed25519_sign_open                                40  *** NON-KERNEL ***
    ed25519_sign_open_batch                          68  *** NON-KERNEL ***
    expand256_modm.constprop.1                        9  *** NON-KERNEL ***
    fe25519_10_contract                               2  kernel
    fe64_tobytes                                      2  *** NON-KERNEL ***
    fe_mul_x4                                       411  kernel
    ge25519_double_scalarmult_vartime               195  *** NON-KERNEL ***
    ge25519_pack                                      2  *** NON-KERNEL ***
    ge25519_scalarmult_base_niels.constprop.0         3  *** NON-KERNEL ***
    ge25519_unpack_negative_vartime                  58  *** NON-KERNEL ***
    hmac_sha3_256                                    36  *** NON-KERNEL ***
    keccak_absorb.constprop.0                        12  *** NON-KERNEL ***
    kyber_cpapke_enc                               1242  *** NON-KERNEL ***
    kyber_decapsulate_internal                     2938  *** NON-KERNEL ***
    kyber_encapsulate_internal                        8  *** NON-KERNEL ***
    kyber_gennoise                                   33  *** NON-KERNEL ***
    kyber_invntt_scalar                             130  *** NON-KERNEL ***
    kyber_keygen_internal                           996  *** NON-KERNEL ***
    kyber_ntt_scalar                                353  *** NON-KERNEL ***
    kyber_poly_cbd3                                 266  *** NON-KERNEL ***
    kyber_poly_cbd_eta                              472  *** NON-KERNEL ***
    kyber_poly_uniform                                2  *** NON-KERNEL ***
    nistp_bits2int                                   65  *** NON-KERNEL ***
    nistp_comb_build.constprop.0                    105  *** NON-KERNEL ***
    nistp_comb_build.constprop.1                     80  *** NON-KERNEL ***
    nistp_comb_build.constprop.2                     75  *** NON-KERNEL ***
    nistp_cond_sub_mod                               76  *** NON-KERNEL ***
    nistp_der_parse_int                              60  *** NON-KERNEL ***
    nistp_ecdsa_sign_core                           768  *** NON-KERNEL ***
    nistp_ecdsa_verify_rs                           573  *** NON-KERNEL ***
    nistp_jac_add                                   178  *** NON-KERNEL ***
    nistp_jac_double                                 52  *** NON-KERNEL ***
    nistp_jac_double.constprop.0                     14  *** NON-KERNEL ***
    nistp_jac_double.constprop.1                     14  *** NON-KERNEL ***
    nistp_jac_double.constprop.2                     24  *** NON-KERNEL ***
    nistp_jac_to_affine                              18  *** NON-KERNEL ***
    nistp_load_point                                 89  *** NON-KERNEL ***
    nistp_mod_sub                                    76  *** NON-KERNEL ***
    nistp_mont_mul                                    9  *** NON-KERNEL ***
    nistp_mont_pow                                    2  *** NON-KERNEL ***
    nistp_scalar_is_high                             23  *** NON-KERNEL ***
    nistp_scalar_load                                 2  *** NON-KERNEL ***
    nistp_scalar_mul_generator                       14  *** NON-KERNEL ***
    nonce_generate                                    6  *** NON-KERNEL ***
    poly_compress                                   468  *** NON-KERNEL ***
    poly_tobytes                                    465  *** NON-KERNEL ***
    polyvec_basemul_acc                             643  *** NON-KERNEL ***
    sc_cond_sub_n                                     6  *** NON-KERNEL ***
    sc_from_bytes                                     4  *** NON-KERNEL ***
    sc_inv                                            4  *** NON-KERNEL ***
    sc_mul                                            4  *** NON-KERNEL ***
    scalar_random                                     2  *** NON-KERNEL ***
    secp256k1_aff_from_bytes_checked                  3  *** NON-KERNEL ***
    secp256k1_comb_build                             19  *** NON-KERNEL ***
    secp256k1_ecdsa_sign_scalars                     31  *** NON-KERNEL ***
    secp256k1_fe_inv                                  2  *** NON-KERNEL ***
    secp256k1_fe_to_bytes                             2  *** NON-KERNEL ***
    secp256k1_jac_add                                55  *** NON-KERNEL ***
    secp256k1_jac_double                             11  *** NON-KERNEL ***
    secp256k1_point_mul_generator                    26  *** NON-KERNEL ***
    sha256_compress_scalar                           13  *** NON-KERNEL ***
    sha2_F                                            2  *** NON-KERNEL ***
    sha2_HT                                           8  *** NON-KERNEL ***
    sha2_H_msg                                       20  *** NON-KERNEL ***
    sha2_PRF_msg                                     79  *** NON-KERNEL ***
    sha512_blocks                                    24  *** NON-KERNEL ***
    sha512_blocks.constprop.0                        24  *** NON-KERNEL ***
    slh_ht_verify                                     1  *** NON-KERNEL ***
    slh_ht_verify.constprop.0                        13  *** NON-KERNEL ***
    slh_sign_internal                                 2  *** NON-KERNEL ***
    slh_sign_internal.constprop.0                    39  *** NON-KERNEL ***
    slh_wots_checksum                                31  *** NON-KERNEL ***
    slh_wots_pk_from_sig.constprop.0                 14  *** NON-KERNEL ***
    slh_wots_sign.constprop.0                        14  *** NON-KERNEL ***
    slh_xmss_treehash.constprop.0                    16  *** NON-KERNEL ***
    x25519_canonicalize_u                             6  *** NON-KERNEL ***
    x25519_scalarmult                                22  *** NON-KERNEL ***
--- AES-NI  (-maes (and -mvaes for the VAES kernel)) ---
    ama_aes256_expand_key_avx2                       13  kernel
    ama_aes256_gcm_decrypt_avx2                     266  kernel
    ama_aes256_gcm_decrypt_vaes_avx2                126  kernel
    ama_aes256_gcm_encrypt_avx2                     280  kernel
    ama_aes256_gcm_encrypt_vaes_avx2                 84  kernel
--- PCLMULQDQ  (-mpclmul (and -mvpclmulqdq for the VAES kernel)) ---
    ama_aes256_gcm_decrypt_avx2                      76  kernel
    ama_aes256_gcm_decrypt_vaes_avx2                 52  kernel
    ama_aes256_gcm_encrypt_avx2                     108  kernel
    ama_aes256_gcm_encrypt_vaes_avx2                 40  kernel
--- SHA-NI (Intel SHA Extensions)  (-msha) ---
