id	line	col	operator	original	replacement	pytest_rc	self_run_rc	status	seconds	last_output
25	313	19	int-const	32	33	1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_hkdf_output_exceeding_max_raises | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 12 passed in 0.28s
26	314	21	int-const	136	137	0	0	survived	1.1	........................                                                 [100%] | 24 passed in 0.23s
27	319	24	compare	>	<=	0	0	survived	1.1	........................                                                 [100%] | 24 passed in 0.24s
28	322	29	binop	+	-	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.23s
29	322	39	binop	*	//	1	0	killed	1.4	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.37s
30	322	53	binop	-	+	0	0	survived	1.1	........................                                                 [100%] | 24 passed in 0.23s
31	327	42	binop	+	-	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.23s
32	329	12	return-none	return hashlib.sha3_256(opad + inner).digest()	return None	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.24s
33	329	41	binop	+	-	1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.27s
34	332	11	not-removal	not 		0	0	survived	1.2	........................                                                 [100%] | 24 passed in 0.24s
35	333	27	binop	*	//	0	0	survived	1.1	........................                                                 [100%] | 24 passed in 0.24s
36	337	21	binop	+	-	1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.24s
37	337	32	binop	-	+	0	0	survived	1.2	........................                                                 [100%] | 24 passed in 0.25s
38	337	34	int-const	1	2	1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_hkdf_output_exceeding_max_raises | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 12 passed in 0.24s
39	338	13	compare	>	<=	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.25s
40	338	15	int-const	255	256	1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_hkdf_output_exceeding_max_raises | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 12 passed in 0.27s
41	339	29	str-const	"HKDF output length exceeds maximum (255 * hash_len)"	""	1	0	killed	1.3	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_hkdf_output_exceeding_max_raises | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 12 passed in 0.28s
42	343	23	int-const	1	2	1	0	killed	1.3	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.27s
43	343	28	binop	+	-	1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.26s
44	343	30	int-const	1	2	0	0	survived	1.4	........................                                                 [100%] | 24 passed in 0.29s
45	344	48	binop	+	-	1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.25s
46	344	55	binop	+	-	1	0	killed	1.6	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.33s
47	347	8	return-none	return b"".join(okm_parts)[:okm_len]	return None	1	0	killed	1.4	FAILED tests/test_hybrid_combiner.py::TestHKDFEdgeCases::test_large_key_hashed | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 11 passed in 0.29s
48	379	13	str-const	"Classical"	""	0	0	survived	1.2	........................                                                 [100%] | 24 passed in 0.24s
49	380	13	str-const	"PQC"	""	0	0	survived	1.4	........................                                                 [100%] | 24 passed in 0.35s
50	382	15	not-removal	not 		1	0	killed	1.2	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.24s
51	382	41	boolop	or	and	0	0	survived	1.3	........................                                                 [100%] | 24 passed in 0.24s
52	382	44	not-removal	not 		1	0	killed	1.4	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.37s
53	384	23	compare	==	!=	1	0	killed	1.4	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.31s
54	384	26	int-const	0	1	0	0	survived	1.2	........................                                                 [100%] | 24 passed in 0.28s
55	386	23	compare	==	!=	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.23s
56	386	26	int-const	0	1	0	0	survived	1.1	........................                                                 [100%] | 24 passed in 0.23s
57	388	23	compare	>	<=	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.22s
58	390	23	compare	>	<=	1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.22s
59	447	27	str-const	"Classical"	""	0	0	survived	1.1	........................                                                 [100%] | 24 passed in 0.23s
60	447	56	str-const	"PQC"	""	0	0	survived	1.2	........................                                                 [100%] | 24 passed in 0.28s
61	448	15	not-removal	not 		1	0	killed	1.1	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.22s
62	450	23	compare	==	!=	1	0	killed	1.0	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.21s
63	450	26	int-const	0	1	0	0	survived	1.0	........................                                                 [100%] | 24 passed in 0.20s
64	452	23	compare	>	<=	1	0	killed	1.0	FAILED tests/test_hybrid_combiner.py::TestHybridRoundTrip::test_round_trip_with_mock_kems | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 4 passed in 0.21s
# target=ama_cryptography/hybrid_combiner.py tests=tests/test_hybrid_combiner.py tests/test_hybrid_combiner_edge_cases.py self_run=False mutants=64 killed=44 survived=20 timeout=0 kill_rate=0.688 wall_s=95
