id	line	col	operator	original	replacement	pytest_rc	self_run_rc	status	seconds	last_output
27	165	4	str-const	"windows-2016"	""	1	0	killed	2.3	FAILED tests/test_workflow_command_checks.py::TestEveryRunnerLabelInTheTablesIsEnforced::test_a_retired_label_is_reported_with_its_replacement[] | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 117 passed in 1.54s
28	165	20	str-const	"windows-2025 or windows-latest"	""	0	0	survived	2.9	........................................................................ [ 78%] | ...........................................................              [100%] | 275 passed in 1.68s
29	172	4	str-const	"softprops/action-gh-release"	""	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestReleasePublishing::test_non_release_steps_are_ignored | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 30 passed in 0.26s
30	173	4	str-const	"step-security/action-gh-release"	""	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestReleasePublishing::test_non_release_steps_are_ignored | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 30 passed in 0.26s
31	178	4	str-const	"CIBW_BEFORE_ALL_WINDOWS"	""	1	0	killed	2.4	FAILED tests/test_workflow_command_checks.py::TestEveryWindowsCommandKeyIsChecked::test_posix_quoting_under_the_key_is_reported[] | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 164 passed in 1.62s
32	179	4	str-const	"CIBW_BEFORE_BUILD_WINDOWS"	""	1	0	killed	0.9	FAILED tests/test_workflow_command_checks.py::TestWindowsQuoting::test_posix_single_quoting_in_windows_command_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 14 passed in 0.24s
33	180	4	str-const	"CIBW_BEFORE_TEST_WINDOWS"	""	1	0	killed	2.4	FAILED tests/test_workflow_command_checks.py::TestEveryWindowsCommandKeyIsChecked::test_posix_quoting_under_the_key_is_reported[] | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 164 passed in 1.64s
34	181	4	str-const	"CIBW_TEST_COMMAND_WINDOWS"	""	1	0	killed	2.4	FAILED tests/test_workflow_command_checks.py::TestEveryWindowsCommandKeyIsChecked::test_posix_quoting_under_the_key_is_reported[] | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 164 passed in 1.63s
35	182	4	str-const	"CIBW_REPAIR_WHEEL_COMMAND_WINDOWS"	""	1	0	killed	2.4	FAILED tests/test_workflow_command_checks.py::TestEveryWindowsCommandKeyIsChecked::test_posix_quoting_under_the_key_is_reported[] | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 164 passed in 1.67s
36	208	18	str-const	'"'	''	1	0	killed	2.5	FAILED tests/test_workflow_command_checks.py::TestShellDoubleQuoteUnescaping::test_every_escape_in_the_table_is_applied[-"] | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 155 passed in 1.71s
37	208	23	str-const	'"'	''	1	0	killed	2.4	FAILED tests/test_workflow_command_checks.py::TestShellDoubleQuoteUnescaping::test_an_escape_at_the_very_end_is_applied | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 162 passed in 1.60s
38	208	28	str-const	"\\"	""	1	0	killed	2.4	FAILED tests/test_workflow_command_checks.py::TestShellDoubleQuoteUnescaping::test_an_escaped_backslash_consumes_both_characters | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 163 passed in 1.67s
39	208	34	str-const	"\\"	""	1	0	killed	2.3	FAILED tests/test_workflow_command_checks.py::TestShellDoubleQuoteUnescaping::test_an_escaped_backslash_consumes_both_characters | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 163 passed in 1.60s
40	208	40	str-const	"$"	""	1	0	killed	2.3	FAILED tests/test_workflow_command_checks.py::TestShellDoubleQuoteUnescaping::test_every_escape_in_the_table_is_applied[-$] | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 155 passed in 1.55s
41	208	45	str-const	"$"	""	0	0	survived	2.8	........................................................................ [ 78%] | ...........................................................              [100%] | 275 passed in 1.63s
42	208	50	str-const	"`"	""	1	0	killed	2.3	FAILED tests/test_workflow_command_checks.py::TestShellDoubleQuoteUnescaping::test_every_escape_in_the_table_is_applied[-`] | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 155 passed in 1.55s
43	208	55	str-const	"`"	""	0	0	survived	2.8	........................................................................ [ 78%] | ...........................................................              [100%] | 275 passed in 1.68s
44	208	60	str-const	"\n"	""	1	0	killed	2.4	FAILED tests/test_workflow_command_checks.py::TestShellDoubleQuoteUnescaping::test_every_escape_in_the_table_is_applied[-] | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 155 passed in 1.66s
45	218	12	int-const	0	1	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_folded_scalar_leading_space_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 8 passed in 0.24s
46	220	16	compare	<	>=	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_folded_scalar_leading_space_is_reported | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 8 passed in 0.25s
47	222	16	compare	==	!=	1	0	killed	1.0	FAILED tests/test_workflow_command_checks.py::TestInlinePythonPayloads::test_escaped_quotes_inside_payload_are_not_false_positives | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed, 10 passed in 0.24s
